"Year","ODS_Code","Age","Item","Term","Numerator","Denominator","Proportion","Benchmark","ODS_Name","Postcode","longitude","latitude","PCN_Code","PCN_Name","Yet_to_receive"
"2019/20","H82006","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",49,49,1,"High (95%+)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  0"
"2019/20","H82006","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",48,49,0.979591836734694,"High (95%+)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  1"
"2019/20","H82006","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",48,49,0.979591836734694,"High (95%+)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  1"
"2019/20","H82006","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",48,49,0.979591836734694,"High (95%+)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  1"
"2019/20","H82007","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",103,103,1,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  0"
"2019/20","H82007","12 months","MenB","Meningococcal group B disease vaccine",103,103,1,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  0"
"2019/20","H82007","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",103,103,1,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  0"
"2019/20","H82007","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",98,103,0.951456310679612,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  5"
"2019/20","H82007","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",109,110,0.990909090909091,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  1"
"2019/20","H82007","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",106,110,0.963636363636364,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82007","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",107,110,0.972727272727273,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  3"
"2019/20","H82007","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",105,110,0.954545454545455,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  5"
"2019/20","H82007","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",106,110,0.963636363636364,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82007","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",108,111,0.972972972972973,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  3"
"2019/20","H82007","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",107,111,0.963963963963964,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82007","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",107,111,0.963963963963964,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82007","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",107,111,0.963963963963964,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82007","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",107,111,0.963963963963964,"High (95%+)","Westcourt Medical Centre","BN16 3NX",-0.513745,50.81149,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82009","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",138,142,0.971830985915493,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","12 months","MenB","Meningococcal group B disease vaccine",138,142,0.971830985915493,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",138,142,0.971830985915493,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",138,142,0.971830985915493,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",163,167,0.976047904191617,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",163,167,0.976047904191617,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",163,167,0.976047904191617,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",163,167,0.976047904191617,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  4"
"2019/20","H82009","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",161,167,0.964071856287425,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  6"
"2019/20","H82009","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",179,192,0.932291666666667,"Medium (90-95%)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN"," 13"
"2019/20","H82009","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",180,192,0.9375,"Medium (90-95%)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN"," 12"
"2019/20","H82009","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",165,192,0.859375,"Low (<90%)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN"," 27"
"2019/20","H82009","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",190,192,0.989583333333333,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  2"
"2019/20","H82009","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",185,192,0.963541666666667,"High (95%+)","St. Lawrence Surgery","BN14 7JL",-0.390026,50.823979,"U13952","Central Worthing Practices PCN","  7"
"2019/20","H82011","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",149,152,0.980263157894737,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  3"
"2019/20","H82011","12 months","MenB","Meningococcal group B disease vaccine",150,152,0.986842105263158,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  2"
"2019/20","H82011","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",150,152,0.986842105263158,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  2"
"2019/20","H82011","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",144,152,0.947368421052632,"Medium (90-95%)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  8"
"2019/20","H82011","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",166,172,0.965116279069768,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  6"
"2019/20","H82011","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",166,172,0.965116279069768,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  6"
"2019/20","H82011","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",166,172,0.965116279069768,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  6"
"2019/20","H82011","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",166,172,0.965116279069768,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  6"
"2019/20","H82011","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",165,172,0.959302325581395,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  7"
"2019/20","H82011","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",172,178,0.966292134831461,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  6"
"2019/20","H82011","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",166,178,0.932584269662921,"Medium (90-95%)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN"," 12"
"2019/20","H82011","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",158,178,0.887640449438202,"Low (<90%)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN"," 20"
"2019/20","H82011","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",170,178,0.955056179775281,"High (95%+)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN","  8"
"2019/20","H82011","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",165,178,0.926966292134831,"Medium (90-95%)","Strand Medical Group","BN12 6FA",-0.41094,50.818463,"U01092","Cissbury Integrated Care PCN"," 13"
"2019/20","H82013","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",87,91,0.956043956043956,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","12 months","MenB","Meningococcal group B disease vaccine",87,91,0.956043956043956,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",87,91,0.956043956043956,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",85,91,0.934065934065934,"Medium (90-95%)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  6"
"2019/20","H82013","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",88,91,0.967032967032967,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  3"
"2019/20","H82013","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",87,91,0.956043956043956,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",87,91,0.956043956043956,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",87,91,0.956043956043956,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",85,91,0.934065934065934,"Medium (90-95%)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  6"
"2019/20","H82013","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",98,99,0.98989898989899,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  1"
"2019/20","H82013","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",95,99,0.95959595959596,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  4"
"2019/20","H82013","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",90,99,0.909090909090909,"Medium (90-95%)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  9"
"2019/20","H82013","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",97,99,0.97979797979798,"High (95%+)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  2"
"2019/20","H82013","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",90,99,0.909090909090909,"Medium (90-95%)","Langley House Surgery","PO19 1RW",-0.78328,50.837059,"U24558","Chichester Alliance of Medical Practices PCN","  9"
"2019/20","H82014","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",104,106,0.981132075471698,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  2"
"2019/20","H82014","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",104,106,0.981132075471698,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  2"
"2019/20","H82014","12 months","MenB","Meningococcal group B disease vaccine",104,106,0.981132075471698,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  2"
"2019/20","H82014","12 months","MenB","Meningococcal group B disease vaccine",104,106,0.981132075471698,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  2"
"2019/20","H82014","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",105,106,0.990566037735849,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  1"
"2019/20","H82014","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",105,106,0.990566037735849,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  1"
"2019/20","H82014","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",101,106,0.952830188679245,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  5"
"2019/20","H82014","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",101,106,0.952830188679245,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  5"
"2019/20","H82014","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82014","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  4"
"2019/20","H82014","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82014","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  4"
"2019/20","H82014","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82014","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  4"
"2019/20","H82014","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82014","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",110,114,0.964912280701754,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  4"
"2019/20","H82014","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",108,114,0.947368421052632,"Medium (90-95%)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  6"
"2019/20","H82014","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",108,114,0.947368421052632,"Medium (90-95%)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  6"
"2019/20","H82014","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",112,112,1,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  0"
"2019/20","H82014","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",112,112,1,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  0"
"2019/20","H82014","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",108,112,0.964285714285714,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  4"
"2019/20","H82014","5 years","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",108,112,0.964285714285714,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  4"
"2019/20","H82014","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",106,112,0.946428571428571,"Medium (90-95%)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  6"
"2019/20","H82014","5 years","DTaPIPV","pre-school diphtheria, tetanus, acellular pertussis and polio (DTaP/IPV) booster; completing booster dose by fifth birthday",106,112,0.946428571428571,"Medium (90-95%)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  6"
"2019/20","H82014","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",109,112,0.973214285714286,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  3"
"2019/20","H82014","5 years","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",109,112,0.973214285714286,"High (95%+)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  3"
"2019/20","H82014","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",104,112,0.928571428571429,"Medium (90-95%)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U21339","Arun Integrated Care (AIC) PCN","  8"
"2019/20","H82014","5 years","MMR2","Measles, mumps, and rubella booster vaccine; second dose by 3 years and 4 months or soon after",104,112,0.928571428571429,"Medium (90-95%)","Coppice Surgery","BN16 3BE",-0.500448,50.813155,"U04748","Angmering Coppice Fitzalan (ACF) PCN","  8"
