"Age","Item","Year","PCN_Code","PCN_Name","Practices_w_denominator","Numerator","Denominator","Practices","Same","Proportion"
"12 months","DTaPIPVHibHepB","2019/20","U87478","Lancing and Sompting PCN",3,279,288,3,"All practices",0.96875
"12 months","DTaPIPVHibHepB","2019/20","U96386","Horsham Collaborative PCN",4,326,337,4,"All practices",0.967359050445104
"12 months","DTaPIPVHibHepB","2020/21","U01092","Cissbury Integrated Care PCN",4,408,426,4,"All practices",0.957746478873239
"12 months","DTaPIPVHibHepB","2020/21","U03364","Haywards Heath Villages PCN",4,440,459,4,"All practices",0.958605664488018
"12 months","DTaPIPVHibHepB","2020/21","U04725","Haywards Heath Central PCN",3,312,323,3,"All practices",0.96594427244582
"12 months","DTaPIPVHibHepB","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,259,274,2,"All practices",0.945255474452555
"12 months","DTaPIPVHibHepB","2020/21","U06871","Burgess Hill & Villages PCN",5,529,550,5,"All practices",0.961818181818182
"12 months","DTaPIPVHibHepB","2020/21","U08235","Regis Healthcare PCN",9,727,776,9,"All practices",0.936855670103093
"12 months","DTaPIPVHibHepB","2020/21","U13952","Central Worthing Practices PCN",3,402,416,3,"All practices",0.966346153846154
"12 months","DTaPIPVHibHepB","2020/21","U14816","Healthy Crawley PCN",4,488,552,4,"All practices",0.884057971014493
"12 months","DTaPIPVHibHepB","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,541,561,5,"All practices",0.964349376114082
"12 months","DTaPIPVHibHepB","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,724,759,8,"All practices",0.953886693017128
"12 months","DTaPIPVHibHepB","2020/21","U26939","Horsham Central PCN",4,473,484,4,"All practices",0.977272727272727
"12 months","DTaPIPVHibHepB","2020/21","U33451","South Crawley PCN",4,541,565,4,"All practices",0.957522123893805
"12 months","DTaPIPVHibHepB","2020/21","U33593","Rural North Chichester PCN",4,288,307,4,"All practices",0.938110749185668
"12 months","DTaPIPVHibHepB","2020/21","U37037","Shoreham and Southwick PCN",2,328,345,3,"This PCN does not include all practices",
"12 months","DTaPIPVHibHepB","2020/21","U49536","Coastal and South Downs PCN",2,233,242,3,"This PCN does not include all practices",
"12 months","DTaPIPVHibHepB","2020/21","U52694","Crawley Care Collaborative PCN",4,523,552,4,"All practices",0.947463768115942
"12 months","DTaPIPVHibHepB","2020/21","U57981","Chanctonbury PCN",4,390,401,4,"All practices",0.972568578553616
"12 months","DTaPIPVHibHepB","2020/21","U60757","Bognor Coastal Alliance PCN",3,243,256,3,"All practices",0.94921875
"12 months","DTaPIPVHibHepB","2020/21","U80779","East Grinstead PCN",4,324,339,4,"All practices",0.955752212389381
"12 months","DTaPIPVHibHepB","2020/21","U87478","Lancing and Sompting PCN",3,246,252,3,"All practices",0.976190476190477
"12 months","DTaPIPVHibHepB","2020/21","U96386","Horsham Collaborative PCN",4,343,356,4,"All practices",0.963483146067416
"12 months","DTaPIPVHibHepB","2021/22","U01092","Cissbury Integrated Care PCN",4,396,417,4,"All practices",0.949640287769784
"12 months","DTaPIPVHibHepB","2021/22","U03364","Haywards Heath Villages PCN",4,452,472,4,"All practices",0.957627118644068
"12 months","DTaPIPVHibHepB","2021/22","U04725","Haywards Heath Central PCN",3,307,318,3,"All practices",0.965408805031447
"12 months","DTaPIPVHibHepB","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,221,234,2,"All practices",0.944444444444444
"12 months","DTaPIPVHibHepB","2021/22","U06871","Burgess Hill & Villages PCN",5,470,486,5,"All practices",0.967078189300412
"12 months","DTaPIPVHibHepB","2021/22","U08235","Regis Healthcare PCN",9,719,751,9,"All practices",0.957390146471372
"12 months","DTaPIPVHibHepB","2021/22","U13952","Central Worthing Practices PCN",3,384,403,3,"All practices",0.952853598014888
"12 months","DTaPIPVHibHepB","2021/22","U14816","Healthy Crawley PCN",4,484,609,4,"All practices",0.794745484400657
"12 months","DTaPIPVHibHepB","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,504,526,5,"All practices",0.958174904942966
"12 months","DTaPIPVHibHepB","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,730,752,8,"All practices",0.970744680851064
"12 months","DTaPIPVHibHepB","2021/22","U26939","Horsham Central PCN",4,522,539,4,"All practices",0.968460111317254
"12 months","DTaPIPVHibHepB","2021/22","U33451","South Crawley PCN",4,488,527,4,"All practices",0.925996204933586
"12 months","DTaPIPVHibHepB","2021/22","U33593","Rural North Chichester PCN",4,222,231,4,"All practices",0.961038961038961
"12 months","DTaPIPVHibHepB","2021/22","U37037","Shoreham and Southwick PCN",3,296,307,3,"All practices",0.964169381107492
"12 months","DTaPIPVHibHepB","2021/22","U49536","Coastal and South Downs PCN",2,217,229,3,"This PCN does not include all practices",
"12 months","DTaPIPVHibHepB","2021/22","U52694","Crawley Care Collaborative PCN",4,566,602,4,"All practices",0.940199335548173
"12 months","DTaPIPVHibHepB","2021/22","U57981","Chanctonbury PCN",4,361,374,4,"All practices",0.96524064171123
"12 months","DTaPIPVHibHepB","2021/22","U60757","Bognor Coastal Alliance PCN",3,239,245,3,"All practices",0.975510204081633
"12 months","DTaPIPVHibHepB","2021/22","U80779","East Grinstead PCN",4,346,376,4,"All practices",0.920212765957447
"12 months","DTaPIPVHibHepB","2021/22","U87478","Lancing and Sompting PCN",3,236,248,3,"All practices",0.951612903225806
"12 months","DTaPIPVHibHepB","2021/22","U96386","Horsham Collaborative PCN",4,307,317,4,"All practices",0.968454258675079
"12 months","MenB","2019/20","U01092","Cissbury Integrated Care PCN",4,432,451,4,"All practices",0.957871396895787
"12 months","MenB","2019/20","U03364","Haywards Heath Villages PCN",4,464,481,4,"All practices",0.964656964656965
"12 months","MenB","2019/20","U04725","Haywards Heath Central PCN",3,339,347,3,"All practices",0.976945244956772
"12 months","MenB","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,264,269,2,"All practices",0.981412639405205
"12 months","MenB","2019/20","U06871","Burgess Hill & Villages PCN",5,506,532,5,"All practices",0.951127819548872
"12 months","MenB","2019/20","U08235","Regis Healthcare PCN",9,786,836,9,"All practices",0.940191387559809
"12 months","MenB","2019/20","U13952","Central Worthing Practices PCN",3,391,416,3,"All practices",0.939903846153846
"12 months","MenB","2019/20","U14816","Healthy Crawley PCN",4,433,452,4,"All practices",0.957964601769912
"12 months","MenB","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,566,578,5,"All practices",0.979238754325259
"12 months","MenB","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,737,775,8,"All practices",0.950967741935484
"12 months","MenB","2019/20","U26939","Horsham Central PCN",4,524,541,4,"All practices",0.968576709796673
"12 months","MenB","2019/20","U33451","South Crawley PCN",4,548,576,4,"All practices",0.951388888888889
"12 months","MenB","2019/20","U33593","Rural North Chichester PCN",4,252,265,4,"All practices",0.950943396226415
"12 months","MenB","2019/20","U37037","Shoreham and Southwick PCN",3,356,376,3,"All practices",0.946808510638298
"12 months","MenB","2019/20","U49536","Coastal and South Downs PCN",3,241,256,3,"All practices",0.94140625
"12 months","MenB","2019/20","U52694","Crawley Care Collaborative PCN",4,545,575,4,"All practices",0.947826086956522
"12 months","MenB","2019/20","U57981","Chanctonbury PCN",4,382,400,4,"All practices",0.955
"12 months","MenB","2019/20","U60757","Bognor Coastal Alliance PCN",3,269,289,3,"All practices",0.930795847750865
"12 months","MenB","2019/20","U80779","East Grinstead PCN",4,363,381,4,"All practices",0.952755905511811
"12 months","MenB","2019/20","U87478","Lancing and Sompting PCN",3,278,288,3,"All practices",0.965277777777778
"12 months","MenB","2019/20","U96386","Horsham Collaborative PCN",4,324,337,4,"All practices",0.961424332344214
"12 months","MenB","2020/21","U01092","Cissbury Integrated Care PCN",4,408,426,4,"All practices",0.95774647887324
"12 months","MenB","2020/21","U03364","Haywards Heath Villages PCN",4,441,459,4,"All practices",0.96078431372549
"12 months","MenB","2020/21","U04725","Haywards Heath Central PCN",3,311,323,3,"All practices",0.962848297213622
"12 months","MenB","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,258,274,2,"All practices",0.941605839416058
"12 months","MenB","2020/21","U06871","Burgess Hill & Villages PCN",5,525,550,5,"All practices",0.954545454545455
"12 months","MenB","2020/21","U08235","Regis Healthcare PCN",9,734,776,9,"All practices",0.945876288659794
"12 months","MenB","2020/21","U13952","Central Worthing Practices PCN",3,403,416,3,"All practices",0.96875
"12 months","MenB","2020/21","U14816","Healthy Crawley PCN",4,490,552,4,"All practices",0.88768115942029
"12 months","MenB","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,541,561,5,"All practices",0.964349376114082
"12 months","MenB","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,732,759,8,"All practices",0.964426877470356
"12 months","MenB","2020/21","U26939","Horsham Central PCN",4,475,484,4,"All practices",0.981404958677686
"12 months","MenB","2020/21","U33451","South Crawley PCN",4,544,565,4,"All practices",0.962831858407079
"12 months","MenB","2020/21","U33593","Rural North Chichester PCN",4,292,307,4,"All practices",0.95114006514658
"12 months","MenB","2020/21","U37037","Shoreham and Southwick PCN",2,328,345,3,"This PCN does not include all practices",
"12 months","MenB","2020/21","U49536","Coastal and South Downs PCN",2,233,242,3,"This PCN does not include all practices",
"12 months","MenB","2020/21","U52694","Crawley Care Collaborative PCN",4,525,552,4,"All practices",0.951086956521739
"12 months","MenB","2020/21","U57981","Chanctonbury PCN",4,390,401,4,"All practices",0.972568578553616
"12 months","MenB","2020/21","U60757","Bognor Coastal Alliance PCN",3,246,256,3,"All practices",0.9609375
"12 months","MenB","2020/21","U80779","East Grinstead PCN",4,325,339,4,"All practices",0.958702064896755
"12 months","MenB","2020/21","U87478","Lancing and Sompting PCN",3,245,252,3,"All practices",0.972222222222222
"12 months","MenB","2020/21","U96386","Horsham Collaborative PCN",4,343,356,4,"All practices",0.963483146067416
"12 months","MenB","2021/22","U01092","Cissbury Integrated Care PCN",4,393,417,4,"All practices",0.942446043165468
"12 months","MenB","2021/22","U03364","Haywards Heath Villages PCN",4,454,472,4,"All practices",0.961864406779661
"12 months","MenB","2021/22","U04725","Haywards Heath Central PCN",3,304,318,3,"All practices",0.955974842767296
"12 months","MenB","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,221,234,2,"All practices",0.944444444444444
"12 months","MenB","2021/22","U06871","Burgess Hill & Villages PCN",5,467,486,5,"All practices",0.960905349794239
"12 months","MenB","2021/22","U08235","Regis Healthcare PCN",9,717,751,9,"All practices",0.954727030625832
"12 months","MenB","2021/22","U13952","Central Worthing Practices PCN",3,384,403,3,"All practices",0.952853598014888
"12 months","MenB","2021/22","U14816","Healthy Crawley PCN",4,488,609,4,"All practices",0.801313628899836
"12 months","MenB","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,504,526,5,"All practices",0.958174904942966
"12 months","MenB","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,727,752,8,"All practices",0.966755319148936
"12 months","MenB","2021/22","U26939","Horsham Central PCN",4,526,539,4,"All practices",0.975881261595547
"12 months","MenB","2021/22","U33451","South Crawley PCN",4,485,527,4,"All practices",0.920303605313093
"12 months","MenB","2021/22","U33593","Rural North Chichester PCN",4,224,231,4,"All practices",0.96969696969697
"12 months","MenB","2021/22","U37037","Shoreham and Southwick PCN",3,296,307,3,"All practices",0.964169381107492
"12 months","MenB","2021/22","U49536","Coastal and South Downs PCN",2,216,229,3,"This PCN does not include all practices",
"12 months","MenB","2021/22","U52694","Crawley Care Collaborative PCN",4,564,602,4,"All practices",0.93687707641196
"12 months","MenB","2021/22","U57981","Chanctonbury PCN",4,361,374,4,"All practices",0.96524064171123
"12 months","MenB","2021/22","U60757","Bognor Coastal Alliance PCN",3,239,245,3,"All practices",0.975510204081633
"12 months","MenB","2021/22","U80779","East Grinstead PCN",4,347,376,4,"All practices",0.922872340425532
"12 months","MenB","2021/22","U87478","Lancing and Sompting PCN",3,235,248,3,"All practices",0.94758064516129
"12 months","MenB","2021/22","U96386","Horsham Collaborative PCN",4,306,317,4,"All practices",0.965299684542587
"12 months","PCV1","2020/21","U01092","Cissbury Integrated Care PCN",4,416,426,4,"All practices",0.976525821596244
"12 months","PCV1","2020/21","U03364","Haywards Heath Villages PCN",4,448,459,4,"All practices",0.9760348583878
"12 months","PCV1","2020/21","U04725","Haywards Heath Central PCN",3,319,323,3,"All practices",0.987616099071207
"12 months","PCV1","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,262,274,2,"All practices",0.956204379562044
"12 months","PCV1","2020/21","U06871","Burgess Hill & Villages PCN",5,538,550,5,"All practices",0.978181818181818
"12 months","PCV1","2020/21","U08235","Regis Healthcare PCN",9,747,776,9,"All practices",0.962628865979381
"12 months","PCV1","2020/21","U13952","Central Worthing Practices PCN",3,405,416,3,"All practices",0.973557692307692
"12 months","PCV1","2020/21","U14816","Healthy Crawley PCN",4,507,552,4,"All practices",0.918478260869565
"12 months","PCV1","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,545,561,5,"All practices",0.971479500891265
"12 months","PCV1","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,742,759,8,"All practices",0.977602108036891
"12 months","PCV1","2020/21","U26939","Horsham Central PCN",4,478,484,4,"All practices",0.987603305785124
"12 months","PCV1","2020/21","U33451","South Crawley PCN",4,556,565,4,"All practices",0.984070796460177
"12 months","PCV1","2020/21","U33593","Rural North Chichester PCN",4,295,307,4,"All practices",0.960912052117264
"12 months","PCV1","2020/21","U37037","Shoreham and Southwick PCN",2,333,345,3,"This PCN does not include all practices",
"12 months","PCV1","2020/21","U49536","Coastal and South Downs PCN",2,238,242,3,"This PCN does not include all practices",
"12 months","PCV1","2020/21","U52694","Crawley Care Collaborative PCN",4,528,552,4,"All practices",0.956521739130435
"12 months","PCV1","2020/21","U57981","Chanctonbury PCN",4,392,401,4,"All practices",0.977556109725686
"12 months","PCV1","2020/21","U60757","Bognor Coastal Alliance PCN",3,248,256,3,"All practices",0.96875
"12 months","PCV1","2020/21","U80779","East Grinstead PCN",4,327,339,4,"All practices",0.964601769911504
"12 months","PCV1","2020/21","U87478","Lancing and Sompting PCN",3,247,252,3,"All practices",0.98015873015873
"12 months","PCV1","2020/21","U96386","Horsham Collaborative PCN",4,347,356,4,"All practices",0.974719101123595
"12 months","PCV1","2021/22","U01092","Cissbury Integrated Care PCN",4,398,417,4,"All practices",0.954436450839328
"12 months","PCV1","2021/22","U03364","Haywards Heath Villages PCN",4,456,472,4,"All practices",0.966101694915254
"12 months","PCV1","2021/22","U04725","Haywards Heath Central PCN",3,308,318,3,"All practices",0.968553459119497
"12 months","PCV1","2021/22","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,223,234,2,"All practices",0.952991452991453
"12 months","PCV1","2021/22","U06871","Burgess Hill & Villages PCN",5,470,486,5,"All practices",0.967078189300412
"12 months","PCV1","2021/22","U08235","Regis Healthcare PCN",9,722,751,9,"All practices",0.96138482023968
"12 months","PCV1","2021/22","U13952","Central Worthing Practices PCN",3,391,403,3,"All practices",0.970223325062035
"12 months","PCV1","2021/22","U14816","Healthy Crawley PCN",4,500,609,4,"All practices",0.821018062397373
"12 months","PCV1","2021/22","U21339","Arun Integrated Care (AIC) PCN",5,508,526,5,"All practices",0.965779467680608
"12 months","PCV1","2021/22","U24558","Chichester Alliance of Medical Practices PCN",8,739,752,8,"All practices",0.982712765957447
"12 months","PCV1","2021/22","U26939","Horsham Central PCN",4,528,539,4,"All practices",0.979591836734694
"12 months","PCV1","2021/22","U33451","South Crawley PCN",4,498,527,4,"All practices",0.944971537001898
"12 months","PCV1","2021/22","U33593","Rural North Chichester PCN",4,227,231,4,"All practices",0.982683982683983
"12 months","PCV1","2021/22","U37037","Shoreham and Southwick PCN",3,301,307,3,"All practices",0.980456026058632
"12 months","PCV1","2021/22","U49536","Coastal and South Downs PCN",2,220,229,3,"This PCN does not include all practices",
"12 months","PCV1","2021/22","U52694","Crawley Care Collaborative PCN",4,571,602,4,"All practices",0.948504983388704
"12 months","PCV1","2021/22","U57981","Chanctonbury PCN",4,366,374,4,"All practices",0.978609625668449
"12 months","PCV1","2021/22","U60757","Bognor Coastal Alliance PCN",3,239,245,3,"All practices",0.975510204081633
"12 months","PCV1","2021/22","U80779","East Grinstead PCN",4,356,376,4,"All practices",0.946808510638298
"12 months","PCV1","2021/22","U87478","Lancing and Sompting PCN",3,239,248,3,"All practices",0.963709677419355
"12 months","PCV1","2021/22","U96386","Horsham Collaborative PCN",4,309,317,4,"All practices",0.974763406940063
"12 months","PCV2","2019/20","U01092","Cissbury Integrated Care PCN",4,435,451,4,"All practices",0.964523281596452
"12 months","PCV2","2019/20","U03364","Haywards Heath Villages PCN",4,468,481,4,"All practices",0.972972972972973
"12 months","PCV2","2019/20","U04725","Haywards Heath Central PCN",3,340,347,3,"All practices",0.979827089337175
"12 months","PCV2","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,265,269,2,"All practices",0.985130111524164
"12 months","PCV2","2019/20","U06871","Burgess Hill & Villages PCN",5,508,532,5,"All practices",0.954887218045113
"12 months","PCV2","2019/20","U08235","Regis Healthcare PCN",9,787,836,9,"All practices",0.941387559808613
"12 months","PCV2","2019/20","U13952","Central Worthing Practices PCN",3,393,416,3,"All practices",0.944711538461538
"12 months","PCV2","2019/20","U14816","Healthy Crawley PCN",4,432,452,4,"All practices",0.955752212389381
"12 months","PCV2","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,568,578,5,"All practices",0.982698961937716
"12 months","PCV2","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,739,775,8,"All practices",0.953548387096774
"12 months","PCV2","2019/20","U26939","Horsham Central PCN",4,528,541,4,"All practices",0.975970425138632
"12 months","PCV2","2019/20","U33451","South Crawley PCN",4,548,576,4,"All practices",0.951388888888889
"12 months","PCV2","2019/20","U33593","Rural North Chichester PCN",4,254,265,4,"All practices",0.958490566037736
"12 months","PCV2","2019/20","U37037","Shoreham and Southwick PCN",3,357,376,3,"All practices",0.949468085106383
"12 months","PCV2","2019/20","U49536","Coastal and South Downs PCN",3,243,256,3,"All practices",0.94921875
"12 months","PCV2","2019/20","U52694","Crawley Care Collaborative PCN",4,551,575,4,"All practices",0.958260869565217
"12 months","PCV2","2019/20","U57981","Chanctonbury PCN",4,383,400,4,"All practices",0.9575
"12 months","PCV2","2019/20","U60757","Bognor Coastal Alliance PCN",3,270,289,3,"All practices",0.934256055363322
"12 months","PCV2","2019/20","U80779","East Grinstead PCN",4,362,381,4,"All practices",0.950131233595801
"12 months","PCV2","2019/20","U87478","Lancing and Sompting PCN",3,278,288,3,"All practices",0.965277777777778
"12 months","PCV2","2019/20","U96386","Horsham Collaborative PCN",4,327,337,4,"All practices",0.970326409495549
"12 months","PCV2","2020/21","U01092","Cissbury Integrated Care PCN",4,311,426,4,"All practices",0.730046948356808
"12 months","PCV2","2020/21","U03364","Haywards Heath Villages PCN",4,333,459,4,"All practices",0.725490196078431
"12 months","PCV2","2020/21","U04725","Haywards Heath Central PCN",3,250,323,3,"All practices",0.773993808049536
"12 months","PCV2","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,195,274,2,"All practices",0.711678832116788
"12 months","PCV2","2020/21","U06871","Burgess Hill & Villages PCN",5,395,550,5,"All practices",0.718181818181819
"12 months","PCV2","2020/21","U08235","Regis Healthcare PCN",9,559,776,9,"All practices",0.720360824742268
"12 months","PCV2","2020/21","U13952","Central Worthing Practices PCN",3,322,416,3,"All practices",0.774038461538462
"12 months","PCV2","2020/21","U14816","Healthy Crawley PCN",4,354,552,4,"All practices",0.641304347826087
"12 months","PCV2","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,418,561,5,"All practices",0.745098039215686
"12 months","PCV2","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,542,759,8,"All practices",0.714097496706192
"12 months","PCV2","2020/21","U26939","Horsham Central PCN",4,360,484,4,"All practices",0.743801652892562
"12 months","PCV2","2020/21","U33451","South Crawley PCN",4,414,565,4,"All practices",0.732743362831858
"12 months","PCV2","2020/21","U33593","Rural North Chichester PCN",4,212,307,4,"All practices",0.690553745928339
"12 months","PCV2","2020/21","U37037","Shoreham and Southwick PCN",2,238,345,3,"This PCN does not include all practices",
"12 months","PCV2","2020/21","U49536","Coastal and South Downs PCN",2,185,242,3,"This PCN does not include all practices",
"12 months","PCV2","2020/21","U52694","Crawley Care Collaborative PCN",4,393,552,4,"All practices",0.71195652173913
"12 months","PCV2","2020/21","U57981","Chanctonbury PCN",4,302,401,4,"All practices",0.753117206982544
"12 months","PCV2","2020/21","U60757","Bognor Coastal Alliance PCN",3,187,256,3,"All practices",0.73046875
"12 months","PCV2","2020/21","U80779","East Grinstead PCN",4,239,339,4,"All practices",0.705014749262537
"12 months","PCV2","2020/21","U87478","Lancing and Sompting PCN",3,191,252,3,"All practices",0.757936507936508
"12 months","PCV2","2020/21","U96386","Horsham Collaborative PCN",4,267,356,4,"All practices",0.75
"12 months","Rota","2019/20","U01092","Cissbury Integrated Care PCN",4,415,451,4,"All practices",0.920177383592018
"12 months","Rota","2019/20","U03364","Haywards Heath Villages PCN",4,456,481,4,"All practices",0.948024948024948
"12 months","Rota","2019/20","U04725","Haywards Heath Central PCN",3,328,347,3,"All practices",0.945244956772334
"12 months","Rota","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,249,269,2,"All practices",0.925650557620817
"12 months","Rota","2019/20","U06871","Burgess Hill & Villages PCN",5,492,532,5,"All practices",0.924812030075188
"12 months","Rota","2019/20","U08235","Regis Healthcare PCN",9,752,836,9,"All practices",0.899521531100478
"12 months","Rota","2019/20","U13952","Central Worthing Practices PCN",3,383,416,3,"All practices",0.920673076923077
"12 months","Rota","2019/20","U14816","Healthy Crawley PCN",4,419,452,4,"All practices",0.926991150442478
"12 months","Rota","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,541,578,5,"All practices",0.93598615916955
"12 months","Rota","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,710,775,8,"All practices",0.916129032258065
"12 months","Rota","2019/20","U26939","Horsham Central PCN",4,516,541,4,"All practices",0.953789279112754
"12 months","Rota","2019/20","U33451","South Crawley PCN",4,521,576,4,"All practices",0.904513888888889
"12 months","Rota","2019/20","U33593","Rural North Chichester PCN",4,251,265,4,"All practices",0.947169811320755
"12 months","Rota","2019/20","U37037","Shoreham and Southwick PCN",3,342,376,3,"All practices",0.909574468085107
"12 months","Rota","2019/20","U49536","Coastal and South Downs PCN",3,233,256,3,"All practices",0.91015625
"12 months","Rota","2019/20","U52694","Crawley Care Collaborative PCN",4,519,575,4,"All practices",0.902608695652174
"12 months","Rota","2019/20","U57981","Chanctonbury PCN",4,376,400,4,"All practices",0.94
"12 months","Rota","2019/20","U60757","Bognor Coastal Alliance PCN",3,252,289,3,"All practices",0.8719723183391
"12 months","Rota","2019/20","U80779","East Grinstead PCN",4,316,381,4,"All practices",0.829396325459318
"12 months","Rota","2019/20","U87478","Lancing and Sompting PCN",3,277,288,3,"All practices",0.961805555555555
"12 months","Rota","2019/20","U96386","Horsham Collaborative PCN",4,318,337,4,"All practices",0.943620178041543
"12 months","Rota","2020/21","U01092","Cissbury Integrated Care PCN",4,401,426,4,"All practices",0.94131455399061
"12 months","Rota","2020/21","U03364","Haywards Heath Villages PCN",4,430,459,4,"All practices",0.93681917211329
"12 months","Rota","2020/21","U04725","Haywards Heath Central PCN",3,297,323,3,"All practices",0.919504643962848
"12 months","Rota","2020/21","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,253,274,2,"All practices",0.923357664233577
"12 months","Rota","2020/21","U06871","Burgess Hill & Villages PCN",5,516,550,5,"All practices",0.938181818181818
"12 months","Rota","2020/21","U08235","Regis Healthcare PCN",9,717,776,9,"All practices",0.923969072164949
"12 months","Rota","2020/21","U13952","Central Worthing Practices PCN",3,391,416,3,"All practices",0.939903846153846
"12 months","Rota","2020/21","U14816","Healthy Crawley PCN",4,477,552,4,"All practices",0.864130434782608
"12 months","Rota","2020/21","U21339","Arun Integrated Care (AIC) PCN",5,530,561,5,"All practices",0.944741532976827
"12 months","Rota","2020/21","U24558","Chichester Alliance of Medical Practices PCN",8,707,759,8,"All practices",0.931488801054018
"12 months","Rota","2020/21","U26939","Horsham Central PCN",4,465,484,4,"All practices",0.960743801652892
"12 months","Rota","2020/21","U33451","South Crawley PCN",4,529,565,4,"All practices",0.936283185840708
"12 months","Rota","2020/21","U33593","Rural North Chichester PCN",4,287,307,4,"All practices",0.93485342019544
"12 months","Rota","2020/21","U37037","Shoreham and Southwick PCN",2,318,345,3,"This PCN does not include all practices",
"12 months","Rota","2020/21","U49536","Coastal and South Downs PCN",2,222,242,3,"This PCN does not include all practices",
"12 months","Rota","2020/21","U52694","Crawley Care Collaborative PCN",4,509,552,4,"All practices",0.922101449275362
"12 months","Rota","2020/21","U57981","Chanctonbury PCN",4,381,401,4,"All practices",0.950124688279302
"12 months","Rota","2020/21","U60757","Bognor Coastal Alliance PCN",3,240,256,3,"All practices",0.9375
"12 months","Rota","2020/21","U80779","East Grinstead PCN",4,303,339,4,"All practices",0.893805309734514
"12 months","Rota","2020/21","U87478","Lancing and Sompting PCN",3,242,252,3,"All practices",0.96031746031746
